Email,Telephone Number,Done,Job Title,Firebase,Notes,Company
Pending Search...,Pending Search...,False,Distribution / Warehouse,High Priority,"Focus: Pallet freight, store distribution | Strategy: Overflow carrier support",US Distributing
Pending Search...,Pending Search...,False,Distribution / Warehouse,High Priority,Focus: Regional shipments | Strategy: Overflow carrier support,Marshalls Distribution Center
Pending Search...,Pending Search...,False,Distribution / Warehouse,High Priority,Focus: Pallet freight | Strategy: Overflow carrier support,American Western Distribution
Pending Search...,Pending Search...,False,Medical Supply,GOLD,"Focus: Time-sensitive, repeat routes | Strategy: Time-sensitive medical logistics",Copper Star Home Medical Supplies
Pending Search...,Pending Search...,False,Medical Supply,GOLD,"Focus: Repeat routes, high margins | Strategy: Medical equipment delivery",Haas Medical Supply
Pending Search...,Pending Search...,False,Retail / Appliance,High Priority,"Focus: Last-mile, appliance delivery | Strategy: Last-mile / Overflow routes",Spencer's TV & Appliance
Pending Search...,Pending Search...,False,Auto / Parts,Underrated Lane Gold,"Focus: Wholesale auto suppliers, tires | Strategy: Dealership parts recovery",Ramjet Racing Performance Cycles
Pending Search...,Pending Search...,False,Warehouse,Call First,Focus: Regional freight | Strategy: Regional logistics,Home Depot Distribution Center
Pending Search...,Pending Search...,False,Warehouse,Call First,Focus: Regional freight | Strategy: Food/Store supply chain,QuikTrip Distribution
Pending Search...,Pending Search...,False,Warehouse,Call First,Focus: Regional freight | Strategy: General storage / shipping,Barlows Distribution & Storage
